Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,Average_score
0,0.0,1.0,0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,235
1,0.0,1.0,1,1.0,1.0,0.0,0.0,6.0,0.0,0.0,228
0,1.0,3.0,0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,232
0,2.0,3.0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,157
0,3.0,0.0,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,146
0,0.0,0.0,1,0.0,2.0,1.0,1.0,0.0,0.0,0.0,175
1,2.0,2.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,192
0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,2.0,204
1,1.0,0.0,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,219
1,2.0,1.0,0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,187
1,0.0,1.0,0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,149
0,4.0,0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,147
0,1.0,1.0,1,0.0,2.0,1.0,1.0,3.0,1.0,2.0,243
1,2.0,1.0,0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,92
1,1.0,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,217
0,0.0,2.0,0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,295
0,4.0,0.0,1,1.0,1.0,1.0,0.0,2.0,1.0,1.0,198
1,3.0,2.0,1,1.0,0.0,1.0,1.0,2.0,0.0,0.0,189
0,1.0,3.0,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,150
0,1.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,181
1,2.0,1.0,1,1.0,1.0,2.0,1.0,3.0,0.0,0.0,245
1,0.0,0.0,0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,221
0,3.0,0.0,0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,175
1,3.0,2.0,1,0.0,2.0,2.0,1.0,2.0,1.0,1.0,238
0,1.0,2.0,0,0.0,1.0,2.0,0.0,3.0,0.0,2.0,199
0,3.0,2.0,0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,234
1,0.0,1.0,0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,248
0,3.0,4.0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,153
0,2.0,0.0,1,0.0,2.0,1.0,1.0,1.0,0.0,1.0,154
1,0.0,4.0,1,0.0,1.0,0.0,1.0,3.0,1.0,0.0,251
1,2.0,3.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,296
0,2.0,0.0,0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,155
1,3.0,4.0,0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,224
1,3.0,0.0,1,1.0,1.0,2.0,1.0,2.0,1.0,1.0,233
0,4.0,0.0,1,1.0,2.0,2.0,1.0,5.0,0.0,2.0,228
0,0.0,0.0,1,0.0,1.0,1.0,0.0,3.0,0.0,0.0,253
1,1.0,1.0,1,0.0,0.0,0.0,1.0,3.0,0.0,1.0,238
1,2.0,2.0,1,0.0,1.0,1.0,1.0,2.0,0.0,1.0,200
1,2.0,3.0,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,143
1,2.0,4.0,1,1.0,2.0,1.0,1.0,1.0,0.0,1.0,262
1,3.0,0.0,0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,153
1,2.0,2.0,1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,223
1,3.0,4.0,0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,191
1,1.0,0.0,1,1.0,2.0,2.0,1.0,0.0,0.0,1.0,299
0,2.0,4.0,0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,203
1,2.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,176
1,0.0,0.0,1,0.0,1.0,1.0,1.0,3.0,1.0,0.0,147
1,1.0,2.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,198
0,2.0,2.0,0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,188
0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,210
0,1.0,0.0,1,1.0,1.0,1.0,0.0,4.0,1.0,1.0,196
0,3.0,0.0,0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,143
1,2.0,3.0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,245
1,0.0,2.0,1,0.0,1.0,1.0,1.0,2.0,0.0,1.0,200
0,1.0,1.0,1,1.0,1.0,1.0,0.0,2.0,0.0,0.0,231
1,3.0,0.0,1,0.0,0.0,1.0,0.0,3.0,1.0,0.0,192
0,1.0,1.0,1,1.0,1.0,2.0,1.0,4.0,0.0,0.0,204
1,2.0,4.0,1,1.0,0.0,2.0,1.0,1.0,0.0,0.0,241
0,1.0,2.0,1,0.0,1.0,2.0,0.0,4.0,0.0,0.0,166
0,2.0,0.0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,187
0,0.0,0.0,0,0.0,1.0,0.0,0.0,7.0,1.0,2.0,164
1,3.0,1.0,0,0.0,3.0,2.0,1.0,3.0,0.0,2.0,158
1,3.0,3.0,0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,237
1,2.0,2.0,1,1.0,0.0,2.0,0.0,1.0,1.0,0.0,235
1,1.0,1.0,0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,217
0,2.0,2.0,1,0.0,1.0,1.0,1.0,2.0,0.0,1.0,215
1,0.0,2.0,1,0.0,0.0,2.0,1.0,2.0,0.0,1.0,197
0,2.0,1.0,1,0.0,0.0,2.0,1.0,1.0,0.0,0.0,140
0,1.0,0.0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,216
0,0.0,3.0,1,0.0,1.0,2.0,1.0,4.0,0.0,1.0,209
0,0.0,0.0,1,1.0,1.0,2.0,0.0,2.0,0.0,1.0,241
1,3.0,1.0,0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,229
1,3.0,1.0,0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,185
0,1.0,0.0,0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,231
0,2.0,1.0,0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,90
1,2.0,0.0,0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,164
0,2.0,2.0,0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,169
0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,259
0,3.0,0.0,1,1.0,0.0,2.0,0.0,2.0,1.0,1.0,246
1,0.0,2.0,0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,250
1,2.0,0.0,0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,113
0,3.0,0.0,0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,207
0,3.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,168
1,1.0,0.0,1,1.0,3.0,2.0,1.0,4.0,0.0,1.0,201
0,3.0,2.0,1,0.0,1.0,1.0,1.0,0.0,0.0,2.0,249
1,2.0,0.0,0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,182
0,1.0,0.0,1,0.0,1.0,2.0,0.0,3.0,0.0,1.0,245
1,3.0,2.0,1,1.0,2.0,2.0,0.0,3.0,0.0,2.0,198
1,0.0,4.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,150
1,2.0,1.0,1,0.0,1.0,1.0,1.0,5.0,0.0,1.0,215
0,1.0,0.0,1,0.0,0.0,2.0,1.0,0.0,0.0,1.0,163
0,4.0,0.0,0,0.0,2.0,1.0,0.0,4.0,0.0,1.0,204
1,2.0,1.0,1,1.0,1.0,2.0,1.0,3.0,0.0,2.0,288
0,1.0,1.0,1,0.0,1.0,2.0,1.0,0.0,0.0,1.0,209
0,2.0,2.0,1,0.0,1.0,2.0,0.0,1.0,1.0,1.0,133
1,3.0,3.0,1,0.0,1.0,1.0,1.0,2.0,0.0,1.0,236
0,0.0,0.0,1,0.0,2.0,1.0,1.0,3.0,0.0,2.0,261
0,2.0,3.0,1,1.0,1.0,1.0,0.0,3.0,0.0,2.0,253
0,1.0,2.0,1,0.0,1.0,2.0,0.0,1.0,0.0,2.0,241
0,1.0,3.0,0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,194
1,1.0,0.0,1,0.0,1.0,1.0,1.0,4.0,0.0,0.0,193
0,3.0,1.0,1,0.0,1.0,2.0,1.0,2.0,1.0,2.0,163
0,2.0,2.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,244
0,1.0,0.0,0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,211
1,0.0,3.0,1,0.0,0.0,2.0,0.0,4.0,1.0,1.0,251
0,0.0,1.0,1,0.0,0.0,2.0,0.0,2.0,0.0,0.0,151
0,1.0,0.0,1,0.0,2.0,2.0,1.0,1.0,0.0,0.0,216
0,2.0,2.0,1,0.0,1.0,1.0,0.0,3.0,1.0,0.0,225
0,0.0,2.0,1,0.0,1.0,2.0,0.0,2.0,0.0,1.0,243
1,3.0,0.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,196
1,3.0,0.0,1,0.0,1.0,1.0,1.0,2.0,1.0,0.0,186
0,0.0,0.0,1,0.0,1.0,1.0,0.0,2.0,0.0,2.0,184
0,4.0,0.0,1,1.0,0.0,1.0,1.0,2.0,0.0,1.0,145
1,1.0,1.0,0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,235
1,3.0,0.0,1,1.0,0.0,1.0,1.0,3.0,1.0,1.0,200
0,1.0,4.0,1,0.0,1.0,1.0,0.0,3.0,0.0,0.0,232
0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,158
1,0.0,1.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,205
1,2.0,2.0,0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,199
0,0.0,2.0,1,1.0,1.0,2.0,0.0,1.0,0.0,1.0,236
1,2.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,223
0,2.0,1.0,1,1.0,1.0,1.0,0.0,2.0,0.0,1.0,236
1,2.0,0.0,0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,147
1,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,282
0,1.0,0.0,1,0.0,1.0,1.0,0.0,2.0,1.0,1.0,217
0,1.0,0.0,0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,138
1,0.0,3.0,1,0.0,1.0,1.0,0.0,2.0,0.0,0.0,213
1,1.0,0.0,1,0.0,1.0,2.0,0.0,3.0,0.0,1.0,222
1,1.0,2.0,1,1.0,1.0,2.0,1.0,5.0,0.0,2.0,286
1,0.0,1.0,0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,217
0,2.0,3.0,1,0.0,1.0,1.0,1.0,2.0,0.0,1.0,193
0,2.0,1.0,1,0.0,0.0,2.0,1.0,1.0,0.0,0.0,147
1,1.0,2.0,0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,160
1,1.0,1.0,1,0.0,1.0,1.0,0.0,2.0,1.0,1.0,206
0,3.0,1.0,1,1.0,3.0,0.0,1.0,1.0,0.0,0.0,242
0,2.0,3.0,1,0.0,1.0,1.0,0.0,3.0,0.0,1.0,234
1,2.0,0.0,1,1.0,1.0,1.0,1.0,3.0,1.0,0.0,263
1,0.0,0.0,1,1.0,0.0,1.0,0.0,4.0,0.0,0.0,192
1,2.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,231
0,3.0,3.0,0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,186
0,1.0,0.0,1,0.0,2.0,1.0,0.0,0.0,1.0,1.0,139
1,1.0,3.0,0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,241
1,1.0,1.0,0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,219
1,0.0,0.0,1,0.0,1.0,2.0,1.0,0.0,1.0,0.0,127
0,3.0,2.0,1,1.0,1.0,0.0,1.0,3.0,0.0,1.0,237
0,0.0,2.0,1,1.0,1.0,2.0,1.0,0.0,1.0,1.0,272
1,3.0,0.0,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,231
0,3.0,3.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,232
0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,2.0,234
0,2.0,2.0,1,0.0,1.0,1.0,0.0,2.0,0.0,1.0,214
0,1.0,0.0,1,0.0,1.0,1.0,1.0,2.0,1.0,0.0,222
0,2.0,0.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,175
1,0.0,3.0,1,0.0,1.0,1.0,1.0,0.0,0.0,2.0,216
0,1.0,0.0,0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,240
0,3.0,2.0,0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,186
0,0.0,0.0,1,1.0,3.0,2.0,0.0,2.0,0.0,1.0,132
0,0.0,2.0,1,1.0,0.0,2.0,0.0,1.0,0.0,1.0,217
0,2.0,0.0,0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,134
0,1.0,2.0,0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,250
0,4.0,1.0,0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,228
0,1.0,0.0,0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,160
1,2.0,2.0,1,1.0,0.0,0.0,1.0,5.0,0.0,2.0,229
0,3.0,2.0,1,0.0,1.0,2.0,1.0,1.0,0.0,1.0,224
1,2.0,2.0,1,1.0,1.0,2.0,1.0,2.0,0.0,1.0,237
0,4.0,1.0,1,0.0,0.0,1.0,1.0,7.0,1.0,1.0,205
0,0.0,1.0,1,1.0,2.0,2.0,1.0,5.0,1.0,1.0,271
0,2.0,0.0,1,0.0,0.0,2.0,0.0,2.0,0.0,1.0,149
1,3.0,2.0,0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,199
1,1.0,0.0,0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,156
1,3.0,2.0,1,0.0,1.0,1.0,0.0,2.0,0.0,1.0,229
0,3.0,3.0,1,0.0,1.0,0.0,1.0,3.0,0.0,0.0,174
0,1.0,3.0,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,196
1,2.0,2.0,0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,208
0,2.0,0.0,1,0.0,1.0,2.0,0.0,3.0,1.0,1.0,205
1,1.0,4.0,1,1.0,3.0,0.0,1.0,3.0,1.0,1.0,242
0,2.0,2.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,233
0,3.0,3.0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,197
1,1.0,2.0,0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,182
1,2.0,0.0,0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,223
1,0.0,0.0,1,0.0,1.0,0.0,0.0,3.0,1.0,2.0,237
1,2.0,1.0,1,0.0,1.0,2.0,1.0,2.0,1.0,0.0,230
1,2.0,0.0,0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,143
1,2.0,0.0,0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,126
1,2.0,1.0,1,0.0,0.0,1.0,1.0,3.0,0.0,1.0,266
0,2.0,1.0,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,184
0,4.0,1.0,0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,71
0,2.0,2.0,1,1.0,1.0,1.0,1.0,5.0,0.0,1.0,234
1,3.0,0.0,1,0.0,1.0,1.0,1.0,2.0,0.0,0.0,142
0,2.0,0.0,1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,190
0,2.0,2.0,1,0.0,0.0,1.0,0.0,3.0,1.0,0.0,115
0,0.0,2.0,1,1.0,1.0,0.0,0.0,3.0,0.0,2.0,168
0,3.0,2.0,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,249
1,2.0,3.0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,271
1,3.0,1.0,0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,198
0,1.0,0.0,1,1.0,1.0,2.0,0.0,0.0,1.0,1.0,219
0,2.0,2.0,1,0.0,0.0,2.0,1.0,2.0,0.0,1.0,145
1,3.0,0.0,0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,86
1,1.0,0.0,0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,150
0,2.0,0.0,0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,177
1,2.0,0.0,1,0.0,1.0,2.0,1.0,0.0,0.0,1.0,200
1,3.0,0.0,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,212
0,1.0,2.0,1,1.0,0.0,1.0,1.0,3.0,1.0,0.0,199
0,1.0,1.0,1,0.0,0.0,2.0,1.0,2.0,0.0,0.0,217
1,2.0,0.0,1,0.0,1.0,1.0,1.0,4.0,1.0,1.0,227
0,3.0,0.0,1,0.0,1.0,1.0,0.0,2.0,0.0,1.0,180
1,2.0,3.0,1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,264
